Order ID,Track Num,Title,Order Date,Shipment Date,Purchase Price Per Unit,Quantity,Item Total
111-9239017-5029811,TBA038395195704,"Adjustable Laptop Stand for Desk, Nulaxy Ergonomic Portable Laptop Stand Up to 10.6"" with Heat-Vent , Laptop Riser Supports Upto 11Lbs, Compatible with MacBook Pro All Laptops 11-16""(Grey)",10/23/21,10/23/21,$28.99,1,$30.43
111-5182838-0722647,,New Apple AirPods (3rd Generation),10/23/21,,$174.99,3,$524.97
111-5182838-0722647,,Nintendo Switch Lite - Yellow,10/23/21,,$199.00,1,$199.00
111-5182838-0722647,,Nintendo Switch Lite - Turquoise,10/23/21,,$199.00,1,$199.00
111-5182838-0722647,TBA039124709404,New Apple AirPods Pro,10/23/21,10/24/21,$219.99,1,$219.99
111-7732997-2561052,,"Fire HD 10 Tablet (10.1"" 1080p full HD display, 32 GB) – Plum (2019 Release)",10/25/21,,$74.99,2,$149.98
111-9182139-6006600,,"Lenovo IdeaPad 1 14 14.0"" Laptop, 14.0"" HD (1366 x 768) Display, Intel Celeron N4020 Processor, 4GB DDR4 RAM, 64 GB SSD Storage, Intel UHD Graphics 600, Win 10 in S Mode, 81VU0079US, Ice Blue",10/25/21,10/25/21,$199.99,2,$399.98
111-8149656-8863445,TBA407786391000,"Fire HD 10 Tablet (10.1"" 1080p full HD display, 32 GB) – White (2019 Release)",10/25/21,10/25/21,$74.99,2,$149.98
